categories_id,categories_name,profession_id,profession_name
1,"Продажи, обслуживание клиентов",10,Аналитик
1,"Продажи, обслуживание клиентов",105,Руководитель отдела клиентского обслуживания
1,"Продажи, обслуживание клиентов",106,Руководитель отдела продаж
1,"Продажи, обслуживание клиентов",121,Специалист технической поддержки
1,"Продажи, обслуживание клиентов",122,Страховой агент
1,"Продажи, обслуживание клиентов",129,Торговый представитель
1,"Продажи, обслуживание клиентов",151,Специалист по сертификации
1,"Продажи, обслуживание клиентов",154,Брокер
1,"Продажи, обслуживание клиентов",161,Руководитель филиала
1,"Продажи, обслуживание клиентов",51,Кассир-операционист
1,"Продажи, обслуживание клиентов",53,Коммерческий директор (CCO)
1,"Продажи, обслуживание клиентов",54,Координатор отдела продаж
1,"Продажи, обслуживание клиентов",57,Кредитный специалист
1,"Продажи, обслуживание клиентов",6,Агент по недвижимости
1,"Продажи, обслуживание клиентов",70,"Менеджер по продажам, менеджер по работе с клиентами"
1,"Продажи, обслуживание клиентов",71,Менеджер по работе с партнерами
1,"Продажи, обслуживание клиентов",83,"Оператор call-центра, специалист контактного центра"
1,"Продажи, обслуживание клиентов",97,"Продавец-консультант, продавец-кассир"
10,"Транспорт, логистика, перевозки",131,"Упаковщик, комплектовщик"
10,"Транспорт, логистика, перевозки",159,Бортпроводник
10,"Транспорт, логистика, перевозки",172,Руководитель отдела логистики
10,"Транспорт, логистика, перевозки",21,Водитель
10,"Транспорт, логистика, перевозки",31,Грузчик
10,"Транспорт, логистика, перевозки",39,Диспетчер
10,"Транспорт, логистика, перевозки",52,Кладовщик
10,"Транспорт, логистика, перевозки",58,Курьер
10,"Транспорт, логистика, перевозки",63,Машинист
10,"Транспорт, логистика, перевозки",67,"Менеджер по логистике, менеджер по ВЭД"
10,"Транспорт, логистика, перевозки",81,Начальник склада
11,Информационные технологии,10,Аналитик
11,Информационные технологии,104,Руководитель группы разработки
11,Информационные технологии,107,Руководитель проектов
11,Информационные технологии,112,Сетевой инженер
11,Информационные технологии,113,Системный администратор
11,Информационные технологии,114,Системный инженер
11,Информационные технологии,116,Специалист по информационной безопасности
11,Информационные технологии,12,"Арт-директор, креативный директор"
11,Информационные технологии,121,Специалист технической поддержки
11,Информационные технологии,124,Тестировщик
11,Информационные технологии,125,Технический директор (CTO)
11,Информационные технологии,126,Технический писатель
11,Информационные технологии,148,Системный аналитик
11,Информационные технологии,150,Бизнес-аналитик
11,Информационные технологии,155,Методолог
11,Информационные технологии,156,"BI-аналитик, аналитик данных"
11,Информационные технологии,157,Руководитель отдела аналитики
11,Информационные технологии,160,DevOps-инженер
11,Информационные технологии,164,Продуктовый аналитик
11,Информационные технологии,165,Дата-сайентист
11,Информационные технологии,25,Гейм-дизайнер
11,Информационные технологии,34,"Дизайнер, художник"
11,Информационные технологии,36,Директор по информационным технологиям (CIO)
11,Информационные технологии,73,Менеджер продукта
11,Информационные технологии,96,"Программист, разработчик"
12,"Управление персоналом, тренинги",117,Специалист по кадрам
12,"Управление персоналом, тренинги",118,Специалист по подбору персонала
12,"Управление персоналом, тренинги",153,Менеджер по компенсациям и льготам
12,"Управление персоналом, тренинги",17,Бизнес-тренер
12,"Управление персоналом, тренинги",171,Руководитель отдела персонала
12,"Управление персоналом, тренинги",38,Директор по персоналу (HRD)
12,"Управление персоналом, тренинги",69,Менеджер по персоналу
13,Юристы,145,Юрисконсульт
13,Юристы,146,Юрист
13,Юристы,158,Комплаенс-менеджер
13,Юристы,166,Директор юридического департамента (CLO)
14,Закупки,119,Специалист по тендерам
14,Закупки,66,Менеджер по закупкам
15,Безопасность,116,Специалист по информационной безопасности
15,Безопасность,120,Специалист службы безопасности
15,Безопасность,22,Военнослужащий
15,Безопасность,90,Охранник
15,Безопасность,95,Полицейский
16,"Домашний, обслуживающий персонал",130,"Уборщица, уборщик"
16,"Домашний, обслуживающий персонал",21,Водитель
16,"Домашний, обслуживающий персонал",23,"Воспитатель, няня"
16,"Домашний, обслуживающий персонал",32,Дворник
16,"Домашний, обслуживающий персонал",58,Курьер
16,"Домашний, обслуживающий персонал",8,Администратор
16,"Домашний, обслуживающий персонал",89,"Официант, бармен, бариста"
16,"Домашний, обслуживающий персонал",90,Охранник
