skill,counter
Работа в команде,41109
Грамотная речь,29062
Пользователь ПК,28199
Организаторские навыки,14441
Умение работать в команде,11994
Деловое общение,10795
Деловая переписка,9269
Работа с большим объемом информации,9054
Ведение переговоров,9006
Управление персоналом,8906
Грамотность,8220
Работа в условиях многозадачности,7482
Обучение и развитие,7268
Активные продажи,7078
Обучение персонала,6585
Ориентация на результат,6147
Английский язык,6096
Телефонные переговоры,6012
Деловая коммуникация,5842
Навыки продаж,5334
AutoCAD,4794
Управление проектами,4611
Заключение договоров,4579
Контроль качества,4505
Подбор персонала,4374
Умение работать в коллективе,4345
Работа с людьми,4268
MS PowerPoint,4160
Поиск и привлечение клиентов,4079
Клиентоориентированность,3963
Многозадачность,3936
Точность и внимательность к деталям,3679
оформление документации,3670
Креативность,3541
Ведение документации,3532
Мобильность,3435
Строительство,3409
Ответственность,3340
Поиск информации в интернет,3297
Ведение отчетности,3227
Материальная ответственность,3204
Управление продажами,3142
Adobe Photoshop,3048
SQL,3046
Аналитическое мышление,3044
Техническое обслуживание,3028
Работа с оргтехникой,3024
1С: Предприятие 8,2978
Проведение презентаций,2933
Умение работать в условиях многозадачности,2932
Руководство коллективом,2835
Развитие продаж,2768
Навыки межличностного общения,2758
Высшее образование,2707
Ответственность и пунктуальность,2679
Мотивация персонала,2655
Управление командой,2512
Документальное сопровождение,2429
Linux,2399
Документооборот,2374
Организация мероприятий,2364
Знание устройства автомобиля,2359
Прямые продажи,2345
Ремонтные работы,2287
Делопроизводство,2284
Проектная документация,2259
Работа с документами,2185
MS Excel,2029
Водительское удостоверение категории B,1968
Уверенный пользователь ПК,1958
Коммуникабельность,1955
Консультирование клиентов,1865
Навыки составления отчетности,1860
Консультирование,1837
Творческое мышление,1798
Python,1775
MS Outlook,1758
Навыки презентации,1721
Excel,1720
Охрана труда и техника безопасности,1659
Складской Учет,1656
Проведение инвентаризаций,1646
Монтаж оборудования,1641
B2B Продажи,1602
Управление производственным персоналом,1599
1С: Документооборот,1593
Опытный пользователь ПК,1578
Чтение чертежей,1559
Умение планировать,1548
Управление производством,1534
"Коммуникабельность, ответственность",1512
CRM,1503
Работа с компьютером,1483
Консультирование клиентов по телефону,1477
Internet,1462
Инвентаризация,1459
Работа с базами данных,1454
Написание текстов,1448
Планирование продаж,1439
Стрессоустойчивость,1412
Планирование карьеры,1399
Управленческая отчетность,1388
Медицинская документация,1383
Подготовка презентаций,1329
Умение принимать решения,1329
Мерчандайзинг,1322
Контроль сроков годности,1294
Управленческие навыки,1285
Кадровое делопроизводство,1269
Бюджетирование,1261
Git,1254
Работа с клиентами,1237
Удаленная работа,1233
Производственный контроль,1232
Ответственное хранение,1224
Работа с ТМЦ,1223
Финансовый анализ,1208
Работа с кассой,1206
Электронная почта,1203
Закупка товаров и услуг,1200
Ответственный подход к работе,1176
Продвижение бренда,1176
Дружелюбность,1168
Навыки переговоров,1168
Адаптация персонала,1162
входящие звонки,1162
Аналитика продаж,1161
Навыки работы с первичной документацией,1160
Электронный документооборот,1141
Работа с поставщиками,1126
Внутренний контроль,1123
оформление заказов,1117
Закупки,1108
Копирайтинг,1106
Договорная работа,1093
Информационная безопасность,1081
Выкладка товаров,1081
SMM,1078
Составление договоров,1072
Холодные продажи,1060
Инженерные системы,1057
