iter	Passed	Remaining
0	278	1390689
1	501	1253592
2	745	1241023
3	1062	1326901
4	1361	1360233
5	1618	1347108
6	1898	1354069
7	2143	1337791
8	2384	1322331
9	2643	1318971
10	2870	1301899
11	3126	1299754
12	3348	1284477
13	3566	1270318
14	3803	1263947
15	4060	1264867
16	4305	1261980
17	4563	1263109
18	4830	1266253
19	5065	1261259
20	5361	1271218
21	5654	1279371
22	5911	1279296
23	6237	1293229
24	6461	1285904
25	6735	1288591
26	6995	1288399
27	7309	1297993
28	7556	1295354
29	7800	1292263
30	8058	1291652
31	8342	1295183
32	8653	1302490
33	8882	1297330
34	9190	1303674
35	9420	1298988
36	9700	1301145
37	9942	1298294
38	10174	1294305
39	10411	1290988
40	10645	1287545
41	10885	1285022
42	11110	1280859
43	11341	1277450
44	11579	1275015
45	11794	1270189
46	12014	1266095
47	12269	1265831
48	12500	1263076
49	12739	1261188
50	12943	1256027
51	13249	1260765
52	13502	1260352
53	13748	1259218
54	14014	1260060
55	14308	1263260
56	14649	1270400
57	14949	1273836
58	15190	1272175
59	15441	1271313
60	15700	1271261
61	15947	1270111
62	16203	1269825
63	16434	1267478
64	16720	1269485
65	16972	1268838
66	17209	1267108
67	17415	1263145
68	17667	1262555
69	17929	1262717
70	18187	1262617
71	18448	1262718
72	18757	1265975
73	18958	1262024
74	19201	1260869
75	19406	1257323
76	19647	1256179
77	19881	1254542
78	20125	1253635
79	20397	1254429
80	20639	1253394
81	20911	1254165
82	21191	1255420
83	21451	1255409
84	21771	1258901
85	22009	1257625
86	22247	1256336
87	22465	1253999
88	22693	1252222
89	22903	1249516
90	23184	1250666
91	23447	1250894
92	23732	1252232
93	23933	1249150
94	24191	1249042
95	24439	1248440
96	24645	1245743
97	24845	1242789
98	25060	1240626
99	25318	1240615
100	25620	1242742
101	25850	1241330
102	26084	1240164
103	26382	1241999
104	26603	1240235
105	26811	1237902
106	27062	1237523
107	27303	1236748
108	27543	1235927
109	27856	1238339
110	28069	1236324
111	28357	1237587
112	28604	1237066
113	28820	1235238
114	29051	1234056
115	29241	1231161
116	29455	1229321
117	29676	1227799
118	29927	1227527
119	30137	1225590
120	30346	1223648
121	30579	1222688
122	30773	1220199
123	31026	1220028
124	31238	1218312
125	31425	1215629
126	31679	1215527
127	31906	1214443
128	32126	1213093
129	32350	1211911
130	32552	1209901
131	32751	1207847
132	32955	1205964
133	33156	1204013
134	33369	1202534
135	33589	1201309
136	33788	1199360
137	34002	1197962
138	34227	1196987
139	34445	1195749
140	34657	1194347
141	34856	1192492
142	35077	1191418
143	35352	1192169
144	35590	1191679
145	35796	1190119
146	35998	1188442
147	36192	1186539
148	36381	1184459
149	36587	1182989
150	36785	1181285
151	36972	1179224
152	37238	1179692
153	37434	1177979
154	37637	1176488
155	37852	1175372
156	38091	1175027
157	38304	1173862
158	38525	1172978
159	38744	1172018
160	38972	1171355
161	39221	1171327
162	39437	1170307
163	39682	1170160
164	39926	1169970
165	40175	1169919
166	40381	1168631
167	40654	1169295
168	40907	1169383
169	41210	1170850
170	41399	1169104
171	41633	1168641
172	41841	1167457
173	42052	1166346
174	42268	1165413
175	42465	1163930
176	42657	1162357
177	42876	1161508
178	43070	1160023
179	43279	1158924
180	43531	1159001
181	43736	1157825
182	43940	1156614
183	44171	1156137
184	44407	1155784
185	44620	1154845
186	44836	1153995
187	45102	1154420
188	45309	1153356
189	45505	1151996
190	45700	1150650
191	45938	1150388
192	46183	1150287
193	46373	1148823
194	46565	1147424
195	46762	1146157
196	46977	1145343
197	47200	1144737
198	47434	1144375
199	47618	1142841
200	47819	1141723
201	48013	1140430
202	48227	1139633
203	48504	1140340
204	48721	1139599
205	48936	1138854
206	49150	1138051
207	49438	1138988
208	49622	1137521
209	49822	1136417
210	50011	1135102
211	50202	1133814
212	50399	1132693
213	50625	1132214
214	50823	1131108
215	51007	1129712
216	51223	1129031
217	51407	1127654
218	51613	1126772
219	51820	1125916
220	52069	1125964
221	52254	1124656
222	52478	1124167
223	52673	1123083
224	52857	1121744
225	53043	1120480
226	53225	1119149
227	53494	1119632
228	53715	1119108
229	53917	1118209
230	54166	1118268
231	54364	1117289
232	54555	1116171
233	54757	1115278
234	54952	1114242
235	55149	1113263
236	55325	1111879
237	55530	1111077
238	55758	1110737
239	55936	1109409
240	56132	1108438
241	56329	1107496
242	56550	1107041
243	56743	1106040
244	56919	1104709
245	57103	1103541
246	57323	1103070
247	57574	1103207
248	57792	1102702
249	58044	1102845
250	58224	1101635
251	58425	1100801
252	58629	1100050
253	58811	1098895
254	59056	1098906
255	59334	1099544
256	59599	1099924
257	59820	1099492
258	60007	1098437
259	60253	1098462
260	60507	1098644
261	60783	1099199
262	60963	1098038
263	61197	1097840
264	61396	1097028
265	61639	1097001
266	61847	1096346
267	62080	1096132
268	62301	1095723
269	62487	1094692
270	62670	1093611
271	62877	1092959
272	63096	1092517
273	63322	1092191
274	63504	1091116
275	63748	1091117
276	63933	1090100
277	64122	1089155
278	64332	1088587
279	64515	1087542
280	64834	1088803
281	65052	1088358
282	65268	1087884
283	65490	1087513
284	65713	1087152
285	65901	1086229
286	66116	1085739
287	66376	1085998
288	66572	1085204
289	66779	1084583
290	66987	1083996
291	67243	1084193
292	67489	1084202
293	67704	1083730
294	67892	1082830
295	68076	1081861
296	68313	1081744
297	68490	1080681
298	68673	1079711
299	68875	1079044
300	69103	1078793
301	69304	1078124
302	69501	1077389
303	69682	1076415
304	69887	1075815
305	70068	1074834
306	70259	1074035
307	70465	1073449
308	70683	1073067
309	70869	1072193
310	71097	1071955
311	71286	1071131
312	71477	1070339
313	71705	1070097
314	71988	1070683
315	72182	1069950
316	72387	1069369
317	72590	1068766
318	72836	1068806
319	73023	1067967
320	73251	1067741
321	73464	1067294
322	73663	1066634
323	73860	1065969
324	74059	1065318
325	74267	1064811
326	74451	1063946
327	74661	1063473
328	74916	1063637
329	75111	1062944
330	75337	1062694
331	75537	1062074
332	75741	1061523
333	76003	1061768
334	76187	1060942
335	76384	1060290
336	76602	1059931
337	76792	1059184
338	76983	1058470
339	77178	1057795
340	77367	1057050
341	77563	1056407
342	77745	1055564
343	77996	1055676
344	78209	1055266
345	78410	1054684
346	78633	1054415
347	78839	1053906
348	79031	1053225
349	79231	1052650
350	79410	1051793
351	79611	1051238
352	79818	1050752
353	80011	1050093
354	80196	1049330
355	80415	1049017
356	80601	1048271
357	80877	1048698
358	81100	1048426
359	81372	1048797
360	81569	1048206
